station_name,state,lat,lon,primary_fuel,grid,reporting_year,production_mwh,emissions_tco2e,intensity_tco2e_mwh
Maroona Wind Farm - Vic,VIC,-37.4224565,142.8464382,Unknown,,,,,
Hughenden Solar Farm - QLD,QLD,-20.8429659,144.2003111,Unknown,,,,,
Black Rock solar farm - VIC,VIC,-37.9621131,145.0188197,Unknown,,,,,
CLARE SOLAR FARM - QLD,QLD,-19.8307685,147.1880545,Unknown,,,,,
Longreach Solar Farm QLD,QLD,-23.4413969,144.2503065,Unknown,,,,,
GANNAWARRA SOLAR FARM - VIC,VIC,-35.7336587,143.9205658,Unknown,,,,,
Peterborough Solar Farm - SA,SA,-32.9785679,138.8158645,Unknown,,,,,
Narromine Solar Farm - NSW,NSW,-32.23205,148.239281,Unknown,,,,,
Manildra Solar Farm - NSW,NSW,-33.1845889,148.6929585,Unknown,,,,,
Bungala One Solar Farm SA,SA,-32.4155509,137.8398439,Unknown,,,,,
Silverton Wind Farm - NSW,NSW,-31.8869094,141.2275456,Unknown,,,,,
Swan Hill solar farm Victoria,VIC,-35.3392273,143.5593694,Unknown,,,,,
Big Top Mt Gravatt Queensland,QLD,-27.5309751,153.074107,Unknown,,,,,
Whyalla Solar Farm 1 - SA,SA,-33.0382085,137.5843572,Unknown,,,,,
Salt Creek Wind Farm - VIC,VIC,-37.907466,142.7980936,Unknown,,,,,
Mt Gellibrand Wind Farm - VIC,VIC,-38.23347,143.79238,Unknown,,,,,
Crookwell 2 Wind Farm NSW,NSW,-34.4576958,149.4696713,Unknown,,,,,
HAMILTON SOLAR FARM - QLD,QLD,-27.4388665,153.0645188,Unknown,,,,,
WHITSUNDAY SOLAR FARM - QLD,QLD,-20.0008272,148.2377252,Unknown,,,,,
Willogoleche Wind Farm - SA,SA,-33.4168325,138.8440063,Unknown,,,,,
Darling Downs Solar Farm - QLD,QLD,-27.1170905,150.8946408,Unknown,,,,,
Numurkah Solar Farm - VIC,VIC,-36.0901483,145.4421854,Unknown,,,,,
Mount Emerald Wind Farm - Qld,QLD,-17.2038889,145.4061111,Unknown,,,,,
Ross River Solar Farm - QLD,QLD,-19.3090595,146.7688108,Unknown,,,,,
DAYDREAM SOLAR FARM- QLD,QLD,-28.0856021,153.4494546,Unknown,,,,,
HAYMAN SOLAR FARM - QLD,QLD,-20.0502143,148.8883785,Unknown,,,,,
Baking Board solar farm - QLD,QLD,-26.698762,150.5794702,Unknown,,,,,
Ythan Creek - Hydro - Vic,VIC,-37.7350132,145.6826186,Unknown,,,,,
Timboon West Wind Farm - VIC,VIC,-38.53889,142.922725,Unknown,,,,,
Karadoc Solar Farm - VIC,VIC,-34.3217119,142.1859007,Unknown,,,,,
Wemen Solar Farm - Vic,VIC,-34.8044645,142.6621851,Unknown,,,,,
Susan River Solar Farm - QLD,QLD,-25.412503,152.7727478,Unknown,,,,,
Yawong Wind Farm - VIC,VIC,-36.469043,143.3869903,Unknown,,,,,
Childers Solar Farm - QLD,QLD,-25.232469,152.2711324,Unknown,,,,,
Oakey 1 Solar Farm - QLD,QLD,-27.4535965,151.7099829,Unknown,,,,,
Rugby Run Solar Farm - QLD,QLD,-22.1349463,147.8910002,Unknown,,,,,
Lilyvale Solar Farm - QLD,QLD,-27.42694,151.875,Unknown,,,,,
Murra Warra Wind Farm Stage 1 - VIC,VIC,-36.4364125,142.24662,Unknown,,,,,
Beryl Solar Farm - NSW,NSW,-32.3430231,149.4431163,Unknown,,,,,
Oakey 2 Solar Farm - QLD,QLD,-27.111009,152.9494531,Unknown,,,,,
Yendon Wind Farm - VIC,VIC,-37.6376283,143.97273,Unknown,,,,,
Haughton Solar Farm - QLD,QLD,-19.7392595,147.111992,Unknown,,,,,
Beros Road Wind Farm - WA,WA,-29.9902782,115.3334958,Unknown,,,,,
Elaine Wind Farm - VIC,VIC,-37.777445,144.0288768,Unknown,,,,,
Cattle Hill Wind Farm - TAS,TAS,-42.1374457,146.7086966,Unknown,,,,,
Sunraysia Solar Farm - NSW,NSW,-34.1376922,142.1408963,Unknown,,,,,
Maryrorough - solar - QLD,QLD,-27.7121091,151.5448478,Unknown,,,,,
Onslow Solar Farm - WA,WA,-21.6347986,115.1111838,Unknown,,,,,
Cherry Tree Wind Farm - VIC,VIC,-37.8055886,148.0456635,Unknown,,,,,
Dundonnell Wind Farm - VIC,VIC,-37.8992405,142.9841108,Unknown,,,,,
Bomen Solar Farm - NSW,NSW,-35.0745667,147.4115773,Unknown,,,,,
Cohuna Solar Farm - VIC,VIC,-35.80826,144.2200068,Unknown,,,,,
Warwick Solar Farm - Solar - QLD,QLD,-28.1815683,152.0732657,Unknown,,,,,
Moorabool Wind Farm - Vic,VIC,-37.5578907,144.0044049,Unknown,,,,,
Goonumbla Solar Farm - NSW,NSW,-32.945,148.0547222,Unknown,,,,,
Yandin Wind Farm - WA,WA,-30.75863,115.59918,Unknown,,,,,
Ferguson North Wind Farm - VIC,VIC,-37.857784,144.8887668,Unknown,,,,,
Collector Wind Farm - NSW,NSW,-34.9133385,149.4322749,Unknown,,,,,
Gangarri Solar Farm - Solar - QLD,QLD,-26.2694941,149.759417,Unknown,,,,,
Winton Solar Farm - VIC,VIC,-36.5518529,145.9842953,Unknown,,,,,
Ferguson South Wind Farm - VIC,VIC,-38.5468519,146.2364802,Unknown,,,,,
Chichester Solar Farm - WA,WA,-21.7573924,118.0311961,Unknown,,,,,
Suntop Solar Farm - NSW,NSW,-32.5652,148.8346,Unknown,,,,,
Diapur Wind Farm - VIC,VIC,-36.3205398,141.4548704,Unknown,,,,,
Sebastopol Solar Farm - Solar - NSW,NSW,-34.6093863,147.5553293,Unknown,,,,,
Little Fisher Hydro Power Station TAS,TAS,-41.7194403,146.3109836,Unknown,,,,,
Columboola Solar Farm - QLD,QLD,-26.6924675,150.3170327,Unknown,,,,,
Murra Warra Wind Farm Stage 2 - VIC,VIC,-36.4364125,142.24662,Unknown,,,,,
Gruyere Power Station - Solar Farm - WA,WA,-28.0309024,123.8118209,Unknown,,,,,
Mortlake South Wind Farm - VIC,VIC,-38.0869066,145.4290443,Unknown,,,,,
New England Solar Farm - NSW,NSW,-32.7004919,151.4492755,Unknown,,,,,
Warnertown 1 Solar Farm - SA,SA,-33.2420178,138.1381564,Unknown,,,,,
Dulacca Wind Farm - QLD,QLD,-26.696213,149.772171,Unknown,,,,,
Wandoan Solar Farm 1 - Qld,QLD,-26.135673,149.9011851,Unknown,,,,,
Leinster Solar Farm - WA,WA,-27.9169614,120.6992407,Unknown,,,,,
Mt Keith Solar Farm - WA,WA,-27.17215,120.54305,Unknown,,,,,
Dubbo-Solar-NSW,NSW,-32.219485,148.2571164,Unknown,,,,,
Glenrowan Solar Farm - VIC,VIC,-36.4639611,146.221016,Unknown,,,,,
200B-Solar-NSW,NSW,-31.556484,147.0860758,Unknown,,,,,
MacIntyre Wind Farm - Wind - QLD,QLD,-28.2989955,151.6093489,Unknown,,,,,
