station_name,state,lat,lon,primary_fuel,grid,reporting_year,production_mwh,emissions_tco2e,intensity_tco2e_mwh
Hydro Power Station - Lake Margaret Lower,TAS,-42.0148718,145.5263239,Hydro,NEM,2023-24,6179.0,3.0,0.0004855154555753358
Hydro Power Station - Lemonthyme,TAS,-41.603717,146.1389172,Hydro,NEM,2023-24,160560.0,50.0,0.0003114100647732935
Hydro Power Station - Liapootah,TAS,-42.3762793,146.5100919,Hydro,NEM,2023-24,371058.0,57.0,0.0001536147987646136
Hydro Power Station - Mackintosh,TAS,-41.69999,145.6454763,Hydro,NEM,2023-24,292258.0,500.0,0.0017108171547057737
Hydro Power Station - Meadowbank,TAS,-42.5976023,146.8302653,Hydro,NEM,2023-24,119884.0,25.0,0.00020853491708651696
Hydro Power Station - Paloona,TAS,-41.2578267,146.2764337,Hydro,NEM,2023-24,84876.0,18.0,0.00021207408454686837
Hydro Power Station - Parangana,TAS,-41.6535143,146.225657,Hydro,NEM,2023-24,5214.0,0.0,0.0
Hydro Power Station - Poatina,TAS,-41.7964237,146.9602505,Hydro,NEM,2023-24,1312018.0,930.0,0.0007088317385889523
Hydro Power Station - Reece,TAS,-41.72442,145.1376063,Hydro,NEM,2023-24,759347.0,2336.0,0.0030763274234309216
Hydro Power Station - Repulse,TAS,-42.5077755,146.6469899,Hydro,NEM,2023-24,115149.0,17.0,0.0001476348036022892
Hydro Power Station - Tarraleah,TAS,-42.3009554,146.4497657,Hydro,NEM,2023-24,553189.0,1017.0,0.0018384313498641513
Hydro Power Station - Tods Corner,TAS,-41.9682847,146.7996404,Hydro,NEM,2023-24,0.0,4.0,
Hydro Power Station - Trevallyn,TAS,-41.4362794,147.1160493,Hydro,NEM,2023-24,344371.0,54.0,0.00015680762898153444
Hydro Power Station - Tribute,TAS,-41.8144339,145.6518446,Hydro,NEM,2023-24,211796.0,63.0,0.00029745604260703696
Hydro Power Station - Tungatinah,TAS,-42.2968611,146.4566731,Hydro,NEM,2023-24,376377.0,119.0,0.0003161723484697524
